file,frame,field,min_raw,max_raw,mean_raw
LOG00026,I,rssi,389.0,744.0,555.9645620197819
LOG00026,I,gyroADC[0],-468.0,1173.0,-4.297751199218916
LOG00026,I,gyroADC[1],-213.0,1179.0,-8.589222417964937
LOG00026,I,gyroADC[2],-248.0,593.0,10.081406269898544
LOG00026,I,gyroUnfilt[0],-474.0,1179.0,-4.301648660695335
LOG00026,I,gyroUnfilt[1],-217.0,1183.0,-8.59592159443053
LOG00026,I,gyroUnfilt[2],-256.0,599.0,10.081955469711763
LOG00026,I,accSmooth[0],-3246.0,2214.0,-398.7914738718852
LOG00026,I,accSmooth[1],-3720.0,4221.0,125.78976525024409
LOG00026,I,accSmooth[2],-4009.0,14898.0,2863.3909931230633
LOG00026,I,motor[0],158.0,2047.0,606.4824202996986
LOG00026,I,motor[1],158.0,2047.0,729.7900730143906
LOG00026,I,motor[2],158.0,2047.0,653.4728159358152
LOG00026,I,motor[3],158.0,2047.0,719.27232616632
LOG00026,I,eRPM[0],12.0,2222.0,819.4027518359724
LOG00026,I,eRPM[1],12.0,2326.0,968.5090100607039
LOG00026,I,eRPM[2],12.0,2151.0,882.9871641125781
LOG00026,I,eRPM[3],12.0,2326.0,956.222948592775
LOG00026,G,time,77599763.0,449463209.0,264425542.76057553
LOG00026,G,GPS_numSat,25.0,30.0,29.61410071942446
LOG00026,G,GPS_coord[0],459164211.0,459175796.0,459170665.5174101
LOG00026,G,GPS_coord[1],168444674.0,168461057.0,168452625.9047482
LOG00026,G,GPS_altitude,1389.0,1659.0,1483.4575539568345
LOG00026,G,GPS_speed,0.0,3552.0,1044.0874820143886
LOG00026,G,GPS_ground_course,1.0,3599.0,1794.8106474820145
LOG00026,H,last_main_time,77599516.0,77599516.0,77599516.0
LOG00026,H,GPS_home[0],459169107.0,459169107.0,459169107.0
LOG00026,H,GPS_home[1],168454429.0,168454429.0,168454429.0
LOG00026,S,last_main_time,77599516.0,449470363.0,267385074.0625
LOG00026,S,flightModeFlags,0.0,1.0,0.9791666666666666
LOG00026,S,stateFlags,7.0,7.0,7.0
LOG00026,S,failsafePhase,0.0,0.0,0.0
LOG00026,S,rxSignalReceived,1.0,1.0,1.0
LOG00026,S,rxFlightChannelsValid,1.0,1.0,1.0
